text,hs_code,hs_chapter,hs_desc,language
เนื้อวัวสด ไม่มีกระดูก สำหรับร้านอาหาร,020130,Meat,Fresh or chilled boneless bovine meat,th
"Unbleached plain weave cotton, commercial grade, for import, for export under standard commercial terms, for scheduled maritime transport.",520812,Textiles,Unbleached plain weave cotton,en
电动汽车锂离子电池组 400V,850760,Electronics,Lithium-ion accumulators,zh
智能手机 安卓系统 6.7英寸屏,851712,Electronics,Smartphones,zh
"Other wooden furniture, meeting international standards, for international wholesale distribution, for scheduled maritime transport.",940360,Furniture,Other wooden furniture,en
"Other needles, catheters for industrial/commercial use, for industrial procurement contract, for 20ft container loading.",901839,Medical,"Other needles, catheters",en
"Processing units for digital machines, commercial grade, for import",847150,Electronics,Processing units for digital machines,en
"American upland cotton, uncarded, for international wholesale distribution, palletized for container shipment.",520100,Textiles,"Cotton, not carded or combed",en
"Basic cotton singlets, knitted, multipack, for export under standard commercial terms, for mixed-lot cargo.",610910,Garments,"T-shirts and singlets, cotton, knitted",en
"Other wooden furniture, commercial grade, for import, for international wholesale distribution, with standard commercial invoice and packing list.",940360,Furniture,Other wooden furniture,en
"Hot rolled carbon steel strip, wide",720839,Steel,"Hot-rolled iron or steel, coil >600mm",en
"Egyptian long staple cotton, raw, for customs clearance and import declaration, for mixed-lot cargo.",520100,Textiles,"Cotton, not carded or combed",en
"Refined copper cathodes - standard quality, bulk shipment, for bulk procurement program, shipping term FOB.",740311,Metals,Refined copper cathodes,en
"Milk powder, fat content ≤1.5%, packed for international trade",040210,Dairy,"Milk powder, fat content ≤1.5%",en
"Polyethylene terephthalate (PET), packed for international trade",390760,Plastics,Polyethylene terephthalate (PET),en
"Road tractors for semi-trailers, packed for international trade, for bonded warehouse delivery, for 20ft container loading.",870120,Vehicles,Road tractors for semi-trailers,en
"Export grade refined copper cathodes, certified, for industrial procurement contract, for 20ft container loading.",740311,Metals,Refined copper cathodes,en
"Frozen boneless beef for export, for bulk procurement program, with standard commercial invoice and packing list.",020230,Meat,Frozen boneless bovine meat,en
"Export grade other beauty or make-up preparations, certified",330499,Cosmetics,Other beauty or make-up preparations,en
"Cold-rolled iron or steel coil for industrial/commercial use, for bulk procurement program, shipping term FOB.",720917,Steel,Cold-rolled iron or steel coil,en
"Other wooden furniture, commercial grade, for import",940360,Furniture,Other wooden furniture,en
"Textured polyester yarn, commercial grade, for import",540233,Textiles,Textured polyester yarn,en
"Milk powder, fat content ≤1.5%, quantity: various, for wholesale, for international wholesale distribution, shipping term CIF.",040210,Dairy,"Milk powder, fat content ≤1.5%",en
"Export grade household refrigerators, compression, certified",841821,Machinery,"Household refrigerators, compression",en
"Insecticides, quantity: various, for wholesale, for bulk procurement program, packed in cartons.",380891,Chemicals,Insecticides,en
"Trade declaration: aeroplanes, unladen weight 2000-15000kg, new",880230,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"Refurbished iPhone 14, 128GB, for customs clearance and import declaration, shipping term FOB.",851712,Electronics,Smartphones,en
"Other frozen fish, packed for international trade, for regional retail supply chain, palletized for container shipment.",030389,Fish,Other frozen fish,en
"Wheat and meslin, other for industrial/commercial use, for industrial procurement contract, shipping term FOB.",100199,Cereals,"Wheat and meslin, other",en
"Hạt cà phê thô Arabica chưa rang, for bulk procurement program, for scheduled maritime transport.",090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",vi
"Light petroleum oil, for blending",271012,Mineral Fuels,Light petroleum oils,en
"Green tea in packages ≤3kg, commercial grade, for import, for customs clearance and import declaration, for 20ft container loading.",090210,Coffee/Tea,Green tea in packages ≤3kg,en
"Hot rolled mild steel coil, pickled, for bulk procurement program, shipping term FOB.",720839,Steel,"Hot-rolled iron or steel, coil >600mm",en
"Electric motor cars (hybrid), quantity: various, for wholesale, for regional retail supply chain, for 20ft container loading.",870340,Vehicles,Electric motor cars (hybrid),en
"Imported ethylene glycol, customs declaration, for industrial procurement contract, shipping term CIF.",290531,Chemicals,Ethylene glycol,en
กุ้งแช่แข็ง แกะหัว ติดเปลือก,030617,Fish,Frozen shrimps and prawns,th
"Trade declaration: toilet soap in bars, new",340111,Cosmetics,Toilet soap in bars,en
"Ibuprofen capsules, 200mg, blister pack, for cross-border shipment, packed in cartons.",300490,Pharmaceuticals,"Other medicaments, packaged for retail",en
"SUV tyres, new, 265/70R16, highway terrain, for international wholesale distribution, for scheduled maritime transport.",401110,Rubber,New pneumatic tyres for cars,en
"Shipment of plates and sheets of ethylene polymers, FOB terms, for bonded warehouse delivery, packed in cartons.",392010,Plastics,Plates and sheets of ethylene polymers,en
"Shipment of jerseys, pullovers of man-made fibres, FOB terms",611030,Garments,"Jerseys, pullovers of man-made fibres",en
"Portland cement, other, commercial grade, for import, for cross-border shipment, for mixed-lot cargo.",252329,Minerals,"Portland cement, other",en
"Frozen deboned cattle meat, commercial grade, for customs clearance and import declaration, packed in cartons.",020230,Meat,Frozen boneless bovine meat,en
"Paracetamol tablets, 500mg, retail packed, for cross-border shipment, packed in cartons.",300490,Pharmaceuticals,"Other medicaments, packaged for retail",en
"Shipment of storage units for computers, FOB terms",847170,Electronics,Storage units for computers,en
"Motor cars, >3000cc for industrial/commercial use, for export under standard commercial terms, shipping term CIF.",870324,Vehicles,"Motor cars, >3000cc",en
"Trade declaration: tobacco, partly or wholly stemmed, new",240120,Tobacco,"Tobacco, partly or wholly stemmed",en
"Milk powder, fat content ≤1.5%, packed for international trade, for bulk procurement program, palletized for container shipment.",040210,Dairy,"Milk powder, fat content ≤1.5%",en
"Footwear with uppers of leather, quantity: various, for wholesale, for bonded warehouse delivery, palletized for container shipment.",640510,Footwear,Footwear with uppers of leather,en
"Other cargo vessels, commercial grade, for import",890190,Ships,Other cargo vessels,en
"Hot rolled steel coil, width >600mm, 3mm thick, for industrial procurement contract, with standard commercial invoice and packing list.",720839,Steel,"Hot-rolled iron or steel, coil >600mm",en
"Other palm oil, meeting international standards, for bonded warehouse delivery, for 20ft container loading.",151190,Oils,Other palm oil,en
"食品级白糖 50公斤袋装, for cross-border shipment, for scheduled maritime transport.",170199,Sugar,Other cane or beet sugar,zh
"Thịt bò tươi không xương, cấp đông mát",020130,Meat,Fresh or chilled boneless bovine meat,vi
"Bulbs, tubers for planting, packed for international trade",060110,Plants,"Bulbs, tubers for planting",en
"Other filtering or purifying machinery, meeting international standards, for customs clearance and import declaration, shipping term FOB.",842139,Machinery,Other filtering or purifying machinery,en
"Unwrought aluminium alloys, commercial grade, for import, for customs clearance and import declaration, for mixed-lot cargo.",760120,Metals,Unwrought aluminium alloys,en
"Toy scooter for kids, push type, for customs clearance and import declaration, with standard commercial invoice and packing list.",950300,Toys,"Tricycles, scooters and pedal cars (toys)",en
"未烘焙咖啡原料 未脱咖啡因, for regional retail supply chain, palletized for container shipment.",090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",zh
"Imported bulbs, tubers for planting, customs declaration",060110,Plants,"Bulbs, tubers for planting",en
"Mineral or chemical fertilizers with NPK for industrial/commercial use, for international wholesale distribution, palletized for container shipment.",310520,Chemicals,Mineral or chemical fertilizers with NPK,en
"Plates and sheets of ethylene polymers, quantity: various, for wholesale, for export under standard commercial terms, shipping term CIF.",392010,Plastics,Plates and sheets of ethylene polymers,en
"Export grade other medical instruments, certified, for customs clearance and import declaration, shipping term CIF.",901890,Medical,Other medical instruments,en
"Shipment of other structures of iron or steel, FOB terms, for bulk procurement program, packed in cartons.",730890,Steel,Other structures of iron or steel,en
"Mixtures of fruit juices, quantity: various, for wholesale, for regional retail supply chain, for mixed-lot cargo.",200990,Food Preparations,Mixtures of fruit juices,en
"HDPE pipe grade resin, black compound",390120,Plastics,"Polyethylene, specific gravity ≥0.94",en
"Jerseys, pullovers of man-made fibres, commercial grade, for import, for industrial procurement contract, packed in cartons.",611030,Garments,"Jerseys, pullovers of man-made fibres",en
"Unprocessed coffee beans, Vietnam robusta",090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",en
"Uncoated paper, 40-150 g/m², quantity: various, for wholesale, for cross-border shipment, shipping term CIF.",480256,Paper,"Uncoated paper, 40-150 g/m²",en
"Imported lumber, coniferous, sawn, customs declaration, for cross-border shipment, shipping term FOB.",440710,Wood,"Lumber, coniferous, sawn",en
"Gạo Jasmine Việt Nam, đã xát trắng, for customs clearance and import declaration, shipping term FOB.",100630,Cereals,Semi-milled or wholly milled rice,vi
"New pneumatic tyres for buses/lorries, packed for international trade, for bulk procurement program, for scheduled maritime transport.",401120,Rubber,New pneumatic tyres for buses/lorries,en
"Men's workwear pants, 100% cotton",620342,Garments,Men's trousers of cotton,en
"Imported cocoa beans, whole or broken, customs declaration, for regional retail supply chain, palletized for container shipment.",180100,Cocoa,"Cocoa beans, whole or broken",en
"รถเก๋งสปาร์คอิกนิชั่น 1500-3000 ซีซี, for customs clearance and import declaration, palletized for container shipment.",870323,Vehicles,"Motor cars, 1500-3000cc",th
Unwrought aluminium alloys for industrial/commercial use,760120,Metals,Unwrought aluminium alloys,en
"Gasoline, unleaded, for motor vehicles",271012,Mineral Fuels,Light petroleum oils,en
"Export grade uncoated paper, 40-150 g/m², certified, for bulk procurement program, packed in cartons.",480256,Paper,"Uncoated paper, 40-150 g/m²",en
"Gasoline, unleaded, for motor vehicles, for cross-border shipment, palletized for container shipment.",271012,Mineral Fuels,Light petroleum oils,en
"Family sedan, 2.0L gasoline engine, for regional retail supply chain, shipping term CIF.",870323,Vehicles,"Motor cars, 1500-3000cc",en
"High density polyethylene resin, pellets, for international wholesale distribution, for mixed-lot cargo.",390120,Plastics,"Polyethylene, specific gravity ≥0.94",en
"Ethylene glycol for industrial/commercial use, for international wholesale distribution, palletized for container shipment.",290531,Chemicals,Ethylene glycol,en
"Fine granulated white sugar, food grade, for export under standard commercial terms, shipping term FOB.",170199,Sugar,Other cane or beet sugar,en
"Refurbished iPhone 14, 128GB",851712,Electronics,Smartphones,en
"Toilet soap in bars, commercial grade, for import",340111,Cosmetics,Toilet soap in bars,en
"Ethylene glycol - standard quality, bulk shipment, for bonded warehouse delivery, with standard commercial invoice and packing list.",290531,Chemicals,Ethylene glycol,en
"Imported other medium petroleum oils, customs declaration, for regional retail supply chain, packed in cartons.",271019,Mineral Fuels,Other medium petroleum oils,en
"Chemical wood pulp, bleached, packed for international trade, for customs clearance and import declaration, palletized for container shipment.",470321,Paper,"Chemical wood pulp, bleached",en
"Fragrant rice, white, fully polished, for customs clearance and import declaration, packed in cartons.",100630,Cereals,Semi-milled or wholly milled rice,en
"Demerara sugar, unrefined cane sugar, for bulk procurement program, for 20ft container loading.",170199,Sugar,Other cane or beet sugar,en
"Bulbs, tubers for planting - standard quality, bulk shipment, for cross-border shipment, palletized for container shipment.",060110,Plants,"Bulbs, tubers for planting",en
"Export grade processing units for digital machines, certified, for industrial procurement contract, packed in cartons.",847150,Electronics,Processing units for digital machines,en
"Wheat beer, unfiltered, 12-pack, for bonded warehouse delivery, for scheduled maritime transport.",220300,Beverages,Beer made from malt,en
"Imported insecticides, customs declaration",380891,Chemicals,Insecticides,en
"Other digital processing units - standard quality, bulk shipment",847141,Electronics,Other digital processing units,en
"Imported lumber, coniferous, sawn, customs declaration, for export under standard commercial terms, packed in cartons.",440710,Wood,"Lumber, coniferous, sawn",en
"Lager beer, malt based, 500ml cans",220300,Beverages,Beer made from malt,en
มะเขือเทศสดคุณภาพดี สำหรับส่งออก,070200,Vegetables,"Tomatoes, fresh or chilled",th
"Milk with fat content 1-6% for industrial/commercial use, for export under standard commercial terms, packed in cartons.",040120,Dairy,Milk with fat content 1-6%,en
"Tesla Model 3, pure electric vehicle, for cross-border shipment, palletized for container shipment.",870380,Vehicles,"Other motor vehicles, electric",en
"Google Pixel 8 smartphone, 128GB, for customs clearance and import declaration, palletized for container shipment.",851712,Electronics,Smartphones,en
"Trade declaration: natural gas, liquefied, new, for export under standard commercial terms, with standard commercial invoice and packing list.",271111,Mineral Fuels,"Natural gas, liquefied",en
"Export grade other filtering or purifying machinery, certified, for international wholesale distribution, shipping term FOB.",842139,Machinery,Other filtering or purifying machinery,en
"Trade declaration: other structures of iron or steel, new, for bulk procurement program, for mixed-lot cargo.",730890,Steel,Other structures of iron or steel,en
"Shipment of polyethylene terephthalate (pet), FOB terms, for industrial procurement contract, for scheduled maritime transport.",390760,Plastics,Polyethylene terephthalate (PET),en
"Television cameras and digital cameras, quantity: various, for wholesale",852580,Electronics,Television cameras and digital cameras,en
"Other parts of cranes, meeting international standards",843149,Machinery,Other parts of cranes,en
"Export grade combined refrigerator-freezers, certified, for international wholesale distribution, for mixed-lot cargo.",841810,Machinery,Combined refrigerator-freezers,en
"Extracts and concentrates of coffee, packed for international trade",210111,Food Preparations,Extracts and concentrates of coffee,en
"Other frozen fish, packed for international trade, for customs clearance and import declaration, shipping term CIF.",030389,Fish,Other frozen fish,en
"Tobacco, partly or wholly stemmed, quantity: various, for wholesale",240120,Tobacco,"Tobacco, partly or wholly stemmed",en
"Television cameras and digital cameras for industrial/commercial use, for export under standard commercial terms, for mixed-lot cargo.",852580,Electronics,Television cameras and digital cameras,en
"Export grade television cameras and digital cameras, certified",852580,Electronics,Television cameras and digital cameras,en
"食品级白糖 50公斤袋装, for bonded warehouse delivery, for mixed-lot cargo.",170199,Sugar,Other cane or beet sugar,zh
"Export grade crude soya-bean oil, certified",150710,Oils,Crude soya-bean oil,en
"Boneless beef sirloin, fresh, not frozen, for export under standard commercial terms, shipping term FOB.",020130,Meat,Fresh or chilled boneless bovine meat,en
"Vegetable saps and extracts - standard quality, bulk shipment, for export under standard commercial terms, for scheduled maritime transport.",130219,Plants,Vegetable saps and extracts,en
"Portable colour television, 24 inch",852872,Electronics,Other colour TV receivers,en
"Lager beer, malt based, 500ml cans, for export under standard commercial terms, for mixed-lot cargo.",220300,Beverages,Beer made from malt,en
"Cocoa beans, whole or broken - standard quality, bulk shipment, for international wholesale distribution, packed in cartons.",180100,Cocoa,"Cocoa beans, whole or broken",en
"กุ้งแช่แข็ง แกะหัว ติดเปลือก, for industrial procurement contract, shipping term CIF.",030617,Fish,Frozen shrimps and prawns,th
"Natural gas, liquefied, packed for international trade",271111,Mineral Fuels,"Natural gas, liquefied",en
"Natural gas, liquefied for industrial/commercial use",271111,Mineral Fuels,"Natural gas, liquefied",en
"Trade declaration: cocoa beans, whole or broken, new",180100,Cocoa,"Cocoa beans, whole or broken",en
"4K Ultra HD colour television receiver, for international wholesale distribution, packed in cartons.",852872,Electronics,Other colour TV receivers,en
รถยนต์ไฟฟ้า พลังงานแบตเตอรี่,870380,Vehicles,"Other motor vehicles, electric",th
"Imported storage units for computers, customs declaration, for regional retail supply chain, with standard commercial invoice and packing list.",847170,Electronics,Storage units for computers,en
"T-shirt style carry bags, plastic, for regional retail supply chain, packed in cartons.",392321,Plastics,Sacks and bags of ethylene polymers,en
"Frozen shrimp, headless, shell-on",030617,Fish,Frozen shrimps and prawns,en
"Trade declaration: diesel motor cars, 1500-2500cc, new",870332,Vehicles,"Diesel motor cars, 1500-2500cc",en
"Shipment of insecticides, FOB terms",380891,Chemicals,Insecticides,en
"Cold-rolled iron or steel coil, quantity: various, for wholesale, for cross-border shipment, for scheduled maritime transport.",720917,Steel,Cold-rolled iron or steel coil,en
"White refined cane sugar, ICUMSA 45, for export under standard commercial terms, for scheduled maritime transport.",170199,Sugar,Other cane or beet sugar,en
New winter snow tires for cars,401110,Rubber,New pneumatic tyres for cars,en
"Polyethylene, specific gravity <0.94, quantity: various, for wholesale, for international wholesale distribution, for mixed-lot cargo.",390110,Plastics,"Polyethylene, specific gravity <0.94",en
"Other electronic integrated circuits, commercial grade, for import",854239,Electronics,Other electronic integrated circuits,en
"Trade declaration: wine in containers ≤2l, new, for export under standard commercial terms, shipping term FOB.",220421,Beverages,Wine in containers ≤2L,en
"Omeprazole capsules, 20mg, 30 count",300490,Pharmaceuticals,"Other medicaments, packaged for retail",en
"Áo phông nữ cotton, in họa tiết, dệt kim, for export under standard commercial terms, packed in cartons.",610910,Garments,"T-shirts and singlets, cotton, knitted",vi
"Portland cement, other, quantity: various, for wholesale, for regional retail supply chain, for scheduled maritime transport.",252329,Minerals,"Portland cement, other",en
"Aeroplanes, unladen weight 2000-15000kg, commercial grade, for import",880230,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"Passenger automobile, 1500-3000cc petrol",870323,Vehicles,"Motor cars, 1500-3000cc",en
"Other games and articles for games, meeting international standards, for customs clearance and import declaration, with standard commercial invoice and packing list.",950490,Toys,Other games and articles for games,en
"Pure aluminium sow ingots, 25kg each",760110,Metals,"Unwrought aluminium, not alloyed",en
"Export grade whiskies, certified, for regional retail supply chain, packed in cartons.",220830,Beverages,Whiskies,en
"Other seats for industrial/commercial use, for bonded warehouse delivery, with standard commercial invoice and packing list.",940180,Furniture,Other seats,en
"Imported motorcycles, 50-250cc, customs declaration",871120,Vehicles,"Motorcycles, 50-250cc",en
Compact electric vehicle for city driving,870380,Vehicles,"Other motor vehicles, electric",en
"Đường thô từ mía, dạng tinh thể, for regional retail supply chain, for 20ft container loading.",170199,Sugar,Other cane or beet sugar,vi
"Cotton T-shirts, men's, knitted, crew neck, for export under standard commercial terms, shipping term CIF.",610910,Garments,"T-shirts and singlets, cotton, knitted",en
"Electronic integrated circuits, memories, commercial grade, for import",854232,Electronics,"Electronic integrated circuits, memories",en
"Export grade bananas, fresh or dried, certified",080300,Fruits,"Bananas, fresh or dried",en
"Other parts of cranes, commercial grade, for import, for industrial procurement contract, shipping term FOB.",843149,Machinery,Other parts of cranes,en
"Cocoa beans, whole or broken, meeting international standards",180100,Cocoa,"Cocoa beans, whole or broken",en
"Wheat beer, unfiltered, 12-pack",220300,Beverages,Beer made from malt,en
"New winter snow tires for cars, for regional retail supply chain, palletized for container shipment.",401110,Rubber,New pneumatic tyres for cars,en
"Export grade footwear with uppers of leather, certified, for customs clearance and import declaration, shipping term FOB.",640510,Footwear,Footwear with uppers of leather,en
Cold-rolled iron or steel coil for industrial/commercial use,720917,Steel,Cold-rolled iron or steel coil,en
"Imported unwrought aluminium alloys, customs declaration, for cross-border shipment, palletized for container shipment.",760120,Metals,Unwrought aluminium alloys,en
Industrial grade white sugar for beverages,170199,Sugar,Other cane or beet sugar,en
"Shipment of upholstered seats with wooden frames, FOB terms, for bonded warehouse delivery, for scheduled maritime transport.",940161,Furniture,Upholstered seats with wooden frames,en
"Petroleum oils, crude, packed for international trade, for bulk procurement program, for 20ft container loading.",270900,Mineral Fuels,"Petroleum oils, crude",en
"Imported sweet biscuits, customs declaration, for cross-border shipment, with standard commercial invoice and packing list.",190531,Food Preparations,Sweet biscuits,en
"Extracts and concentrates of coffee, packed for international trade, for regional retail supply chain, shipping term CIF.",210111,Food Preparations,Extracts and concentrates of coffee,en
"Export grade green tea in packages ≤3kg, certified, for customs clearance and import declaration, for mixed-lot cargo.",090210,Coffee/Tea,Green tea in packages ≤3kg,en
"Shipment of waters with added sugar or flavour, FOB terms",220210,Beverages,Waters with added sugar or flavour,en
"Imported other structures of iron or steel, customs declaration, for international wholesale distribution, shipping term FOB.",730890,Steel,Other structures of iron or steel,en
"New summer tyres for automobiles, 195/65R15, for customs clearance and import declaration, shipping term FOB.",401110,Rubber,New pneumatic tyres for cars,en
"New radial tyres for passenger cars, 205/55R16",401110,Rubber,New pneumatic tyres for cars,en
"BYD electric car, long range battery, for international wholesale distribution, for scheduled maritime transport.",870380,Vehicles,"Other motor vehicles, electric",en
"Sweet biscuits, commercial grade, for import",190531,Food Preparations,Sweet biscuits,en
"Trade declaration: electronic integrated circuits, memories, new, for industrial procurement contract, for mixed-lot cargo.",854232,Electronics,"Electronic integrated circuits, memories",en
"Other medium petroleum oils, commercial grade, for import, for export under standard commercial terms, packed in cartons.",271019,Mineral Fuels,Other medium petroleum oils,en
"Export grade television cameras and digital cameras, certified, for international wholesale distribution, packed in cartons.",852580,Electronics,Television cameras and digital cameras,en
"Cà phê nhân xanh, chưa rang, Robusta",090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",vi
"Other medium petroleum oils, commercial grade, for import, for bonded warehouse delivery, with standard commercial invoice and packing list.",271019,Mineral Fuels,Other medium petroleum oils,en
"Lumber, coniferous, sawn - standard quality, bulk shipment, for bonded warehouse delivery, for mixed-lot cargo.",440710,Wood,"Lumber, coniferous, sawn",en
"New pneumatic tyres for buses/lorries, meeting international standards, for international wholesale distribution, packed in cartons.",401120,Rubber,New pneumatic tyres for buses/lorries,en
"Parts for filtering machinery, meeting international standards",842199,Machinery,Parts for filtering machinery,en
"Hot rolled mild steel coil, pickled",720839,Steel,"Hot-rolled iron or steel, coil >600mm",en
"Other cargo vessels, packed for international trade, for bonded warehouse delivery, for scheduled maritime transport.",890190,Ships,Other cargo vessels,en
"กุ้งขาวแวนนาไมแช่แข็ง ขนาด 31/40, for bulk procurement program, shipping term FOB.",030617,Fish,Frozen shrimps and prawns,th
"Export grade natural gas, liquefied, certified, for industrial procurement contract, for scheduled maritime transport.",271111,Mineral Fuels,"Natural gas, liquefied",en
"Trade declaration: refined copper cathodes, new, for bulk procurement program, for scheduled maritime transport.",740311,Metals,Refined copper cathodes,en
"本田思域 火花点火 1800cc, for bonded warehouse delivery, with standard commercial invoice and packing list.",870323,Vehicles,"Motor cars, 1500-3000cc",zh
รถยนต์ไฟฟ้า BYD แบตเตอรี่ลิเธียม,870380,Vehicles,"Other motor vehicles, electric",th
"Vaccines for human medicine, quantity: various, for wholesale, for cross-border shipment, for scheduled maritime transport.",300220,Pharmaceuticals,Vaccines for human medicine,en
"Imported other seats, customs declaration, for regional retail supply chain, packed in cartons.",940180,Furniture,Other seats,en
"Imported beans, fresh or chilled, customs declaration",070820,Vegetables,"Beans, fresh or chilled",en
"Aeroplanes, unladen weight 2000-15000kg - standard quality, bulk shipment, for bulk procurement program, shipping term CIF.",880230,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"Fresh organic Granny Smith apples, for customs clearance and import declaration, shipping term FOB.",080810,Fruits,Fresh apples,en
"Naphtha, light fraction, for petrochemicals, for international wholesale distribution, with standard commercial invoice and packing list.",271012,Mineral Fuels,Light petroleum oils,en
"เสื้อยืดคอตตอน ผู้หญิง พิมพ์ลาย, for bulk procurement program, for mixed-lot cargo.",610910,Garments,"T-shirts and singlets, cotton, knitted",th
"Lager beer, malt based, 500ml cans, for customs clearance and import declaration, with standard commercial invoice and packing list.",220300,Beverages,Beer made from malt,en
"Women's trousers of cotton, quantity: various, for wholesale, for regional retail supply chain, for mixed-lot cargo.",620462,Garments,Women's trousers of cotton,en
"Shipment of instantaneous gas water heaters, FOB terms",841911,Machinery,Instantaneous gas water heaters,en
"Reformate, high octane, light petroleum",271012,Mineral Fuels,Light petroleum oils,en
"Chilled boneless veal, premium cuts, for bulk procurement program, for scheduled maritime transport.",020130,Meat,Fresh or chilled boneless bovine meat,en
"Trade declaration: other wooden furniture, new",940360,Furniture,Other wooden furniture,en
"Chemical wood pulp, bleached for industrial/commercial use, for industrial procurement contract, shipping term FOB.",470321,Paper,"Chemical wood pulp, bleached",en
"คอมพิวเตอร์แล็ปท็อป จอ 14 นิ้ว, for export under standard commercial terms, for 20ft container loading.",847130,Electronics,Portable digital computers <10kg,th
"Polyethylene terephthalate (PET) - standard quality, bulk shipment",390760,Plastics,Polyethylene terephthalate (PET),en
"Chemical wood pulp, bleached for industrial/commercial use",470321,Paper,"Chemical wood pulp, bleached",en
"Block frozen whole shrimp, commercial grade",030617,Fish,Frozen shrimps and prawns,en
"Imported bananas, fresh or dried, customs declaration, for international wholesale distribution, with standard commercial invoice and packing list.",080300,Fruits,"Bananas, fresh or dried",en
"Amber ale, artisan craft beer, for export under standard commercial terms, for 20ft container loading.",220300,Beverages,Beer made from malt,en
น้ำตาลทรายขาว บรรจุถุง 50 กก.,170199,Sugar,Other cane or beet sugar,th
"Đường trắng tinh luyện từ mía, ICUMSA 45, for export under standard commercial terms, shipping term CIF.",170199,Sugar,Other cane or beet sugar,vi
"Cotton corduroy trousers, men's, for regional retail supply chain, with standard commercial invoice and packing list.",620342,Garments,Men's trousers of cotton,en
"Tobacco, partly or wholly stemmed - standard quality, bulk shipment, for international wholesale distribution, palletized for container shipment.",240120,Tobacco,"Tobacco, partly or wholly stemmed",en
"Mineral or chemical fertilizers with NPK - standard quality, bulk shipment, for cross-border shipment, for 20ft container loading.",310520,Chemicals,Mineral or chemical fertilizers with NPK,en
"Wine in containers ≤2L, packed for international trade, for regional retail supply chain, packed in cartons.",220421,Beverages,Wine in containers ≤2L,en
"Shipment of soya beans, other, FOB terms, for industrial procurement contract, for mixed-lot cargo.",120190,Oil Seeds,"Soya beans, other",en
"Other games and articles for games, commercial grade, for import, for bulk procurement program, for scheduled maritime transport.",950490,Toys,Other games and articles for games,en
"Shipment of unwrought aluminium alloys, FOB terms",760120,Metals,Unwrought aluminium alloys,en
"Trade declaration: other palm oil, new",151190,Oils,Other palm oil,en
"Other cheese for industrial/commercial use, for international wholesale distribution, for mixed-lot cargo.",040690,Dairy,Other cheese,en
"Other filtering or purifying machinery, commercial grade, for import",842139,Machinery,Other filtering or purifying machinery,en
Wooden nightstand with two drawers,940350,Furniture,Wooden bedroom furniture,en
Parts of turbo-jets for industrial/commercial use,841191,Machinery,Parts of turbo-jets,en
"Shipment of other parts of cranes, FOB terms",843149,Machinery,Other parts of cranes,en
"Export grade storage units for computers, certified, for international wholesale distribution, with standard commercial invoice and packing list.",847170,Electronics,Storage units for computers,en
"Insecticides - standard quality, bulk shipment",380891,Chemicals,Insecticides,en
"เนื้อโคสดแช่เย็น ปลอดกระดูก คุณภาพดี, for industrial procurement contract, for 20ft container loading.",020130,Meat,Fresh or chilled boneless bovine meat,th
"Extracts and concentrates of coffee, packed for international trade, for bonded warehouse delivery, for scheduled maritime transport.",210111,Food Preparations,Extracts and concentrates of coffee,en
"Shipment of unbleached plain weave cotton, FOB terms",520812,Textiles,Unbleached plain weave cotton,en
"Imported other beauty or make-up preparations, customs declaration, for industrial procurement contract, for 20ft container loading.",330499,Cosmetics,Other beauty or make-up preparations,en
食品级白糖 50公斤袋装,170199,Sugar,Other cane or beet sugar,zh
"Portable colour television, 24 inch, for bulk procurement program, shipping term CIF.",852872,Electronics,Other colour TV receivers,en
"Imported polyethylene, specific gravity <0.94, customs declaration, for bonded warehouse delivery, for scheduled maritime transport.",390110,Plastics,"Polyethylene, specific gravity <0.94",en
"Shipment of other medium petroleum oils, FOB terms, for regional retail supply chain, for scheduled maritime transport.",271019,Mineral Fuels,Other medium petroleum oils,en
"Other structures of iron or steel, quantity: various, for wholesale, for regional retail supply chain, packed in cartons.",730890,Steel,Other structures of iron or steel,en
"Sandals with rubber soles, for customs clearance and import declaration, with standard commercial invoice and packing list.",640399,Footwear,Other footwear with rubber soles,en
"Running shoes, rubber bottom, mesh, for cross-border shipment, for mixed-lot cargo.",640399,Footwear,Other footwear with rubber soles,en
"Static converters, packed for international trade",850440,Electronics,Static converters,en
"Toilet soap in bars, packed for international trade",340111,Cosmetics,Toilet soap in bars,en
"Imported parts and accessories for computers, customs declaration",847330,Electronics,Parts and accessories for computers,en
"Light petroleum oil, for blending, for bulk procurement program, palletized for container shipment.",271012,Mineral Fuels,Light petroleum oils,en
"Road tractors for semi-trailers - standard quality, bulk shipment, for cross-border shipment, palletized for container shipment.",870120,Vehicles,Road tractors for semi-trailers,en
"Natural gas, liquefied for industrial/commercial use, for bonded warehouse delivery, for mixed-lot cargo.",271111,Mineral Fuels,"Natural gas, liquefied",en
"Imported other parts of cranes, customs declaration, for international wholesale distribution, with standard commercial invoice and packing list.",843149,Machinery,Other parts of cranes,en
High density polyethylene for containers,390120,Plastics,"Polyethylene, specific gravity ≥0.94",en
